id,name,sex,party,age,type
Platzeck,Platzeck,2,SPD,4,0
Pofalla,Pofalla,2,CDU,4,0
Praetorius,Praetorius,1,NA,NA,0
Tillich,Tillich,2,CDU,4,0
Hasselfeldt,Hasselfeldt,1,CSU,4,0
Kampeter,Kampeter,2,CDU,3,0
Kapferer,Kapferer,2,FDP,3,0
Kempf,Kempf,2,NA,4,0
Nemat,Nemat,1,NA,3,0
Reiche,Reiche,1,CDU,2,0
Röstel,Röstel,1,Gruene,3,0
Schweitzer,Schweitzer,2,FDP,3,0
Grothus,Grothus,1,NA,3,0
Wodtke,Wodtke,1,CDU,NA,0
Herntier,Hertier,1,NA,NA,0
Kreuzberg,Kreuzberg,2,CDU,4,0
Priggen,Priggen,2,Gruene,4,0
Vassiliadis,Vassiliadis,2,SPD,3,0
Scheidt,Scheidt,2,SPD,3,0
Körzell,Körzell,2,SPD,3,0
Kaiser,Kaiser,2,NA,3,0
Weiger,Weiger,2,NA,5,0
Niebert,Niebert,2,NA,1,0
Allmendinger,Allmendinger,1,SPD,4,0
Matthes,Matthes,2,NA,3,0
Schellnhuber,Schellnhuber,2,NA,4,0
Niebuhr,Niebuhr,1,NA,NA,0
Wehrspohn,Wehrsporn,2,NA,2,0
Lämmel,Lämmel,2,CDU,3,0
Lenz,Lenz,2,CSU,1,0
Miersch,Miersch,2,SPD,3,0
1,Politik,NA,NA,NA,1
2,Verband,NA,NA,NA,1
3,Gewerkschaft,NA,NA,NA,1
4,Umweltschutz,NA,NA,NA,1
5,Industrie,NA,NA,NA,1
6,Energieunternehmen,NA,NA,NA,1
7,Wissenschaft,NA,NA,NA,1
8,Regionalvertreter,NA,NA,NA,1
9,CDU,NA,CDU,NA,1
10,CSU,NA,CSU,NA,1
11,SPD,NA,SPD,NA,1
12,Gruene,NA,Gruene,NA,1
13,FDP,NA,FDP,NA,1
