from,to,weight
Platzeck,1,3
Platzeck,11,1
Pofalla,9,1
Pofalla,5,3
Pofalla,1,1
Praetorius,4,1
Praetorius,7,2
Tillich,1,3
Tillich,9,1
Hasselfeldt,10,1
Kampeter,9,1
Kampeter,3,3
Kapferer,13,1
Kapferer,2,3
Kempf,2,3
Nemat,5,3
Reiche,9,1
Reiche,2,3
Röstel,12,1
Röstel,6,2
Schweitzer,6,3
Schweitzer,2,3
Grothus,4,1
Grothus,8,1
Wodtke,9,2
Wodtke,4,8
Wodtke,8,1
Herntier,8,3
Kreuzberg,8,3
Kreuzberg,9,2
Priggen,8,1
Priggen,12,1
Priggen,4,3
Vassiliadis,3,3
Vassiliadis,11,1
Scheidt,3,3
Scheidt,6,2
Scheidt,11,1
Körzell,3,3
Körzell,11,1
Kaiser,4,3
Weiger,4,3
Weiger,1,2
Niebert,4,3
Niebert,7,2
Allmendinger,7,3
Matthes,7,2
Schellnhuber,7,3
Schellnhuber,1,1
Niebuhr,7,1
Wehrspohn,7,3
Lämmel,9,2
Lämmel,1,2
Lenz,10,2
Lenz,1,2
Miersch,11,2
Miersch,1,2
